"Symfony Parte 1: Criação de uma API Restfull";Sim
"Symfony Parte 2: Autenticação e HATEOAS";Sim
"PHP Doctrine: Introdução ao mapeamento Objeto-Relacional";Sim
"Laravel Parte 1: Produtividade no desenvolvimento web";Sim
"Laravel Parte 2: Trabalhando com Autenticação, Relacionamento e Testes";Sim
"Lumen: API REST com o Micro-framework do Laravel";Sim
"Introdução ao PHP: Primeiros passos com a linguagem";Sim
"Avançando com o PHP: Array, Strings, Função e web";Sim
"MVC com PHP: Entenda o padrão Model-View-Controller";Sim
"PHP Composer: Dependências, Autoload e Publicação";Sim
"PHP e TDD: Testes com PHPUnit";Sim
"Design Patterns PHP I: Boas Práticas de Programação";Não
"Design Patterns PHP II: Boas Práticas de Programação";Não
"Design Patterns PHP III: Boas Práticas de Programação";Não
"Design Patterns PHP IV: Boas Práticas de Programação";Não
"Curso de PDO: Persistencia com PHP";Não
"Orientacao a Objetos com PHP";Não
